Gene,Non-unique Gene name,Annotation,AY077834.1_Sheeppox_virus_NISKHI_1994,MW020571.1_Sheeppox_virus_V104_sheep
KBTB1_1,KBTB1_1,Kelch repeat and BTB domain-containing protein A55,KGOPFGHK_00139,ILJDMEPN_00139
group_111,,hypothetical protein,KGOPFGHK_00140,ILJDMEPN_00140
group_110,,hypothetical protein,KGOPFGHK_00150,ILJDMEPN_00150
group_109,,hypothetical protein,KGOPFGHK_00001,ILJDMEPN_00001
group_108,,hypothetical protein,KGOPFGHK_00126,ILJDMEPN_00126
group_107,,hypothetical protein,KGOPFGHK_00017,ILJDMEPN_00017
group_106,,hypothetical protein,KGOPFGHK_00116,ILJDMEPN_00116
group_105,,hypothetical protein,KGOPFGHK_00022,ILJDMEPN_00022
group_104,,hypothetical protein,KGOPFGHK_00025,ILJDMEPN_00025
group_103,,hypothetical protein,KGOPFGHK_00006,ILJDMEPN_00006
group_102,,hypothetical protein,KGOPFGHK_00107,ILJDMEPN_00107
RPO7,RPO7,DNA-directed RNA polymerase 7 kDa subunit,KGOPFGHK_00052,ILJDMEPN_00052
group_101,,hypothetical protein,KGOPFGHK_00100,ILJDMEPN_00100
group_100,,hypothetical protein,KGOPFGHK_00041,ILJDMEPN_00041
group_99,,hypothetical protein,KGOPFGHK_00019,ILJDMEPN_00019
group_98,,hypothetical protein,KGOPFGHK_00115,ILJDMEPN_00115
group_97,,Protein A19,KGOPFGHK_00106,ILJDMEPN_00106
group_96,,Protein A2.5,KGOPFGHK_00089,ILJDMEPN_00089
group_95,,hypothetical protein,KGOPFGHK_00127,ILJDMEPN_00127
group_94,,Virion membrane protein A9,KGOPFGHK_00096,ILJDMEPN_00096
group_93,,Protein I5,KGOPFGHK_00043,ILJDMEPN_00043
group_92,,Protein G3,KGOPFGHK_00048,ILJDMEPN_00048
group_91,,Protein K3,KGOPFGHK_00010,ILJDMEPN_00010
group_90,,Protein L2,KGOPFGHK_00058,ILJDMEPN_00058
group_89,,Core protein A15,KGOPFGHK_00102,ILJDMEPN_00102
group_88,,Virion membrane protein A14,KGOPFGHK_00101,ILJDMEPN_00101
group_87,,putative FAD-linked sulfhydryl oxidase E10,KGOPFGHK_00037,ILJDMEPN_00037
group_86,,hypothetical protein,KGOPFGHK_00012,ILJDMEPN_00012
group_85,,hypothetical protein,KGOPFGHK_00018,ILJDMEPN_00018
group_84,,Phosphoprotein F17,KGOPFGHK_00028,ILJDMEPN_00028
group_83,,hypothetical protein,KGOPFGHK_00125,ILJDMEPN_00125
group_82,,hypothetical protein,KGOPFGHK_00144,ILJDMEPN_00144
group_81,,Glutaredoxin-2,KGOPFGHK_00050,ILJDMEPN_00050
group_80,,Protein E11,KGOPFGHK_00038,ILJDMEPN_00038
L5R,L5R,Protein L5,KGOPFGHK_00061,ILJDMEPN_00061
group_79,,Protein J5,KGOPFGHK_00066,ILJDMEPN_00066
group_78,,hypothetical protein,KGOPFGHK_00137,ILJDMEPN_00137
group_77,,Envelope protein A28,KGOPFGHK_00113,ILJDMEPN_00113
group_76,,hypothetical protein,KGOPFGHK_00026,ILJDMEPN_00026
DUT,DUT,Deoxyuridine 5'-triphosphate nucleotidohydrolase,KGOPFGHK_00014,ILJDMEPN_00014
H7R,H7R,Late protein H7,KGOPFGHK_00074,ILJDMEPN_00074
group_75,,Protein J1,KGOPFGHK_00062,ILJDMEPN_00062
group_74,,hypothetical protein,KGOPFGHK_00112,ILJDMEPN_00112
VLTF2,VLTF2,Viral late gene transcription factor 2,KGOPFGHK_00087,ILJDMEPN_00087
D4L,D4L,Core protein D4,KGOPFGHK_00076,ILJDMEPN_00076
group_73,,hypothetical protein,KGOPFGHK_00147,ILJDMEPN_00147
group_72,,hypothetical protein,KGOPFGHK_00128,ILJDMEPN_00128
group_71,,hypothetical protein,KGOPFGHK_00091,ILJDMEPN_00091
group_70,,hypothetical protein,KGOPFGHK_00011,ILJDMEPN_00011
group_69,,hypothetical protein,KGOPFGHK_00007,ILJDMEPN_00007
group_68,,DNA-directed RNA polymerase 18 kDa subunit,KGOPFGHK_00081,ILJDMEPN_00081
group_67,,DNA-directed RNA polymerase 19 kDa subunit,KGOPFGHK_00092,ILJDMEPN_00092
group_66,,Resolvase A22,KGOPFGHK_00109,ILJDMEPN_00109
BCRF1,BCRF1,Viral interleukin-10,KGOPFGHK_00002,ILJDMEPN_00002
group_65,,Protein A34,KGOPFGHK_00119,ILJDMEPN_00119
group_64,,putative dual specificity protein phosphatase H1,KGOPFGHK_00068,ILJDMEPN_00068
group_63,,hypothetical protein,KGOPFGHK_00122,ILJDMEPN_00122
group_62,,hypothetical protein,KGOPFGHK_00053,ILJDMEPN_00053
group_61,,hypothetical protein,KGOPFGHK_00013,ILJDMEPN_00013
TK,TK,Thymidine kinase,KGOPFGHK_00063,ILJDMEPN_00063
E3L,E3L,Protein E3,KGOPFGHK_00031,ILJDMEPN_00031
group_60,,hypothetical protein,KGOPFGHK_00145,ILJDMEPN_00145
group_59,,hypothetical protein,KGOPFGHK_00133,ILJDMEPN_00133
group_58,,25 kDa core protein A12L,KGOPFGHK_00099,ILJDMEPN_00099
group_57,,Protein H2,KGOPFGHK_00069,ILJDMEPN_00069
group_56,,Protein A35,KGOPFGHK_00120,ILJDMEPN_00120
group_55,,Virion membrane protein A17 precursor,KGOPFGHK_00104,ILJDMEPN_00104
group_54,,hypothetical protein,KGOPFGHK_00032,ILJDMEPN_00032
group_53,,Protein A33,KGOPFGHK_00118,ILJDMEPN_00118
group_52,,hypothetical protein,KGOPFGHK_00064,ILJDMEPN_00064
group_51,,hypothetical protein,KGOPFGHK_00009,ILJDMEPN_00009
group_50,,Protein F9,KGOPFGHK_00020,ILJDMEPN_00020
UNG,UNG,Uracil-DNA glycosylase,KGOPFGHK_00078,ILJDMEPN_00078
group_49,,hypothetical protein,KGOPFGHK_00027,ILJDMEPN_00027
group_48,,Late transcription elongation factor G2,KGOPFGHK_00049,ILJDMEPN_00049
PSHR,PS/HR,Protein B5,KGOPFGHK_00136,ILJDMEPN_00136
D9R,D9R,mRNA-decapping protein D9,KGOPFGHK_00082,ILJDMEPN_00082
H5R,H5R,Late transcription elongation factor H5,KGOPFGHK_00072,ILJDMEPN_00072
VLTF3,VLTF3,Viral late gene transcription factor 3,KGOPFGHK_00088,ILJDMEPN_00088
group_47,,hypothetical protein,KGOPFGHK_00003,ILJDMEPN_00003
group_46,,hypothetical protein,KGOPFGHK_00135,ILJDMEPN_00135
group_45,,27 kDa core protein,KGOPFGHK_00077,ILJDMEPN_00077
L1R,L1R,Protein L1,KGOPFGHK_00057,ILJDMEPN_00057
group_44,,mRNA-decapping protein D10,KGOPFGHK_00083,ILJDMEPN_00083
L4R,L4R,Core protein VP8,KGOPFGHK_00060,ILJDMEPN_00060
group_43,,Protein A32,KGOPFGHK_00117,ILJDMEPN_00117
VLTF1,VLTF1,Late transcription factor 1,KGOPFGHK_00055,ILJDMEPN_00055
group_42,,Protein E8,KGOPFGHK_00035,ILJDMEPN_00035
group_41,,hypothetical protein,KGOPFGHK_00123,ILJDMEPN_00123
group_40,,Soluble interferon gamma receptor B8,KGOPFGHK_00005,ILJDMEPN_00005
I3L,I3L,Protein I3,KGOPFGHK_00042,ILJDMEPN_00042
group_39,,mRNA-capping enzyme regulatory subunit,KGOPFGHK_00085,ILJDMEPN_00085
group_38,,hypothetical protein,KGOPFGHK_00121,ILJDMEPN_00121
VITF3S,VITF3S,Intermediate transcription factor 3 small subunit,KGOPFGHK_00095,ILJDMEPN_00095
group_37,,hypothetical protein,KGOPFGHK_00124,ILJDMEPN_00124
group_36,,hypothetical protein,KGOPFGHK_00138,ILJDMEPN_00138
group_35,,DNA-directed RNA polymerase 35 kDa subunit,KGOPFGHK_00114,ILJDMEPN_00114
VPK1,VPK1,B1 kinase,KGOPFGHK_00134,ILJDMEPN_00134
group_34,,Telomere-binding protein I1,KGOPFGHK_00040,ILJDMEPN_00040
group_33,,Protein A11,KGOPFGHK_00098,ILJDMEPN_00098
TOP1,TOP1,DNA topoisomerase 1B,KGOPFGHK_00073,ILJDMEPN_00073
group_32,,Protein L3,KGOPFGHK_00059,ILJDMEPN_00059
F4L,F4L,Ribonucleoside-diphosphate reductase small chain,KGOPFGHK_00016,ILJDMEPN_00016
H3L,H3L,Envelope protein H3,KGOPFGHK_00070,ILJDMEPN_00070
PAPS,PAPS,Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase,KGOPFGHK_00065,ILJDMEPN_00065
group_31,,hypothetical protein,KGOPFGHK_00132,ILJDMEPN_00132
SERP2,SERP2,Serine proteinase inhibitor 2,KGOPFGHK_00146,ILJDMEPN_00146
group_30,,Myristoylated protein G9,KGOPFGHK_00056,ILJDMEPN_00056
group_29,,hypothetical protein,KGOPFGHK_00004,ILJDMEPN_00004
group_28,,Soluble interferon alpha/beta receptor B18,KGOPFGHK_00131,ILJDMEPN_00131
group_27,,Envelope phospholipase F13,KGOPFGHK_00024,ILJDMEPN_00024
group_26,,Ankyrin repeat domain-containing protein M-T5,KGOPFGHK_00141,ILJDMEPN_00141
group_25,,Assembly protein G7,KGOPFGHK_00054,ILJDMEPN_00054
group_24,,hypothetical protein,KGOPFGHK_00008,ILJDMEPN_00008
A6L,A6L,Protein A6,KGOPFGHK_00093,ILJDMEPN_00093
group_23,,Virion membrane protein A16,KGOPFGHK_00103,ILJDMEPN_00103
group_22,,hypothetical protein,KGOPFGHK_00033,ILJDMEPN_00033
VITF3L,VITF3L,Intermediate transcription factor 3 large subunit,KGOPFGHK_00110,ILJDMEPN_00110
group_21,,Telomere-binding protein I6,KGOPFGHK_00044,ILJDMEPN_00044
group_20,,Envelope phospholipase F13,KGOPFGHK_00142,ILJDMEPN_00142
group_19,,DNA polymerase processivity factor component A20,KGOPFGHK_00108,ILJDMEPN_00108
group_18,,Core protease I7,KGOPFGHK_00045,ILJDMEPN_00045
G5R,G5R,Putative nuclease G5,KGOPFGHK_00051,ILJDMEPN_00051
VPK2,VPK2,Serine/threonine-protein kinase 2,KGOPFGHK_00021,ILJDMEPN_00021
PAPL,PAPL,Poly(A) polymerase catalytic subunit,KGOPFGHK_00029,ILJDMEPN_00029
group_17,,Transcript termination protein A18,KGOPFGHK_00105,ILJDMEPN_00105
group_16,,Ankyrin repeat domain-containing protein M-T5,KGOPFGHK_00149,ILJDMEPN_00149
group_15,,Ankyrin repeat domain-containing protein M-T5,KGOPFGHK_00143,ILJDMEPN_00143
group_14,,Scaffold protein D13,KGOPFGHK_00086,ILJDMEPN_00086
KBTB1_2,KBTB1_2,Kelch repeat and BTB domain-containing protein A55,KGOPFGHK_00148,ILJDMEPN_00148
LIG,LIG,DNA ligase,KGOPFGHK_00129,ILJDMEPN_00129
group_13,,Protein E6,KGOPFGHK_00034,ILJDMEPN_00034
group_12,,Kelch repeat protein F3,KGOPFGHK_00015,ILJDMEPN_00015
group_11,,Metalloendopeptidase G1,KGOPFGHK_00047,ILJDMEPN_00047
NPH1,NPH1,Nucleoside triphosphatase I,KGOPFGHK_00084,ILJDMEPN_00084
VETFS,VETFS,Early transcription factor 70 kDa subunit,KGOPFGHK_00080,ILJDMEPN_00080
group_10,,Protein F12,KGOPFGHK_00023,ILJDMEPN_00023
group_9,,Major core protein 4b,KGOPFGHK_00090,ILJDMEPN_00090
NPH2,NPH2,RNA helicase NPH-II,KGOPFGHK_00046,ILJDMEPN_00046
group_8,,hypothetical protein,KGOPFGHK_00039,ILJDMEPN_00039
VETFL,VETFL,Early transcription factor 82 kDa subunit,KGOPFGHK_00094,ILJDMEPN_00094
group_7,,Protein E2,KGOPFGHK_00030,ILJDMEPN_00030
group_6,,Primase D5,KGOPFGHK_00079,ILJDMEPN_00079
group_5,,RNA polymerase-associated transcription-specificity factor RAP94,KGOPFGHK_00071,ILJDMEPN_00071
group_4,,mRNA-capping enzyme catalytic subunit,KGOPFGHK_00075,ILJDMEPN_00075
group_3,,Major core protein 4a precursor,KGOPFGHK_00097,ILJDMEPN_00097
POL,POL,DNA polymerase,KGOPFGHK_00036,ILJDMEPN_00036
group_2,,DNA-directed RNA polymerase 133 kDa polypeptide,KGOPFGHK_00111,ILJDMEPN_00111
group_1,,hypothetical protein,KGOPFGHK_00067,ILJDMEPN_00067
group_0,,hypothetical protein,KGOPFGHK_00130,ILJDMEPN_00130
